التاريخ,اليوم,النوع,التصنيف,المبلغ,التفاصيل,دورة_الميزانية
2025-12-28,السبت,دخل,الراتب,13465.8,,01-2026
2025-12-28,السبت,دخل,حساب المواطن,400.0,,01-2026
2025-12-28,السبت,دخل,الدعم السكني,1667.22,,01-2026
2025-12-28,السبت,دخل,العمالة,800.0,,01-2026
2025-12-28,السبت,دخل,حقوق خاصة,1000.0,,01-2026
2025-12-28,السبت,دخل,أخرى,300.0,,01-2026
2025-12-28,السبت,مصروفات ثابتة,القرض الشخصي,2276.0,,01-2026
2025-12-28,السبت,مصروفات ثابتة,القرض العقاري,3838.0,,01-2026
2025-12-28,السبت,مصروفات ثابتة,امي,800.0,,01-2026
2025-12-28,السبت,مصروفات ثابتة,كفالة,220.0,,01-2026
2025-12-28,السبت,مصروفات ثابتة,الاعاشة,350.0,,01-2026
2025-12-28,السبت,مصروف,بنزين,92.0,,01-2026
2025-12-28,السبت,مصروف,أخرى,50.0,,01-2026
2025-12-29,السبت,مصروف,مقاهي,19.0,,01-2026
2025-12-29,السبت,مصروف,مطاعم,12.0,,01-2026
2025-12-29,السبت,مصروف,عناية,150.0,,01-2026
2025-12-30,السبت,مصروف,بنزين,128.0,,01-2026
2025-12-30,السبت,مصروف,تصليح,190.0,,01-2026
2025-12-30,السبت,مصروف,مقاهي,33.0,,01-2026
2025-12-30,السبت,مصروف,المستشفيات والصيدليات,49.75,,01-2026
2025-12-30,السبت,مصروف,مطاعم,100.0,,01-2026
2025-12-30,السبت,مصروف,ترفيه وحجوزات,171.22,,01-2026
2025-12-30,السبت,مصروف,خدمات خارجية,75.0,,01-2026
2025-12-30,السبت,مصروف,قطات,150.0,,01-2026
2025-12-30,السبت,مصروف,أخرى,10.0,,01-2026
2025-12-31,السبت,مصروف,مقاضي البيت,303.0,,01-2026
2025-12-31,السبت,مصروف,مقاهي,9.0,,01-2026
2025-12-31,السبت,مصروف,مطاعم,103.0,,01-2026
2025-12-31,السبت,مصروف,خدمات خارجية,200.0,,01-2026
2025-12-31,السبت,مصروف,أخرى,20.0,,01-2026
2026-01-01,السبت,مصروف,بنزين,151.0,,01-2026
2026-01-01,السبت,مصروف,خدمات خارجية,14.0,,01-2026
2026-01-01,السبت,مصروف,أخرى,10.0,,01-2026
2026-01-02,السبت,مصروف,فواتير,50.0,,01-2026
2026-01-02,السبت,مصروف,مقاضي البيت,199.28,,01-2026
2026-01-02,السبت,مصروف,خدمات خارجية,100.0,,01-2026
2026-01-02,السبت,مصروف,عناية,180.0,,01-2026
2026-01-04,السبت,مصروف,خدمات خارجية,200.0,,01-2026
2026-01-04,السبت,مصروف,أخرى,200.0,,01-2026
2026-01-05,السبت,مصروف,بنزين,147.0,,01-2026
2026-01-05,السبت,مصروف,مقاهي,2.0,,01-2026
2026-01-05,السبت,مصروف,خدمات خارجية,209.2,,01-2026
2026-01-05,السبت,مصروف,خدمات خارجية,100.0,,01-2026
2026-01-06,السبت,مصروف,مقاضي البيت,91.78,,01-2026
2026-01-06,السبت,مصروف,مقاهي,9.0,,01-2026
2026-01-06,السبت,مصروف,أخرى,10.0,,01-2026
2026-01-07,السبت,مصروف,عناية,60.0,,01-2026
2026-01-08,السبت,مصروف,بنزين,104.0,,01-2026
2026-01-08,السبت,مصروف,ترفيه وحجوزات,144.35,,01-2026
2026-01-09,السبت,مصروف,مقاضي البيت,26.98,,01-2026
2026-01-09,السبت,مصروف,مقاهي,24.0,,01-2026
2026-01-09,السبت,مصروف,خدمات خارجية,158.0,,01-2026
2026-01-10,السبت,مصروف,بنزين,92.01,,01-2026
2026-01-10,السبت,مصروف,السيارة,110.0,,01-2026
2026-01-10,السبت,مصروف,مقاضي البيت,214.99,,01-2026
2026-01-10,السبت,مصروف,خضاروفواكهه,50.0,,01-2026
2026-01-10,السبت,مصروف,مطاعم,27.0,,01-2026
2026-01-10,السبت,مصروف,عناية,100.0,,01-2026
2026-01-10,السبت,مصروف,أخرى,50.0,,01-2026
2026-01-12,السبت,مصروف,بنزين,79.76,,01-2026
2026-01-12,السبت,مصروف,مقاضي البيت,130.0,,01-2026
2026-01-12,السبت,مصروف,أخرى,14.04,,01-2026
2026-01-13,السبت,مصروف,قطات,130.0,,01-2026
2026-01-14,السبت,مصروف,ماء,130.0,,01-2026
2026-01-14,السبت,مصروف,مقاهي,9.0,,01-2026
2026-01-14,السبت,مصروف,ترفيه وحجوزات,200.0,,01-2026
2026-01-14,السبت,مصروف,خدمات خارجية,250.0,,01-2026
2026-01-14,السبت,مصروف,قطات,600.0,,01-2026
2026-01-14,السبت,مصروف,عناية,15.0,,01-2026
2026-01-14,السبت,مصروف,أخرى,6.0,,01-2026
2026-01-15,السبت,مصروف,مقاهي,70.0,,01-2026
2026-01-15,السبت,مصروف,ترفيه وحجوزات,330.0,,01-2026
2026-01-16,السبت,مصروف,بنزين,50.0,,01-2026
2026-01-16,السبت,مصروف,مقاضي البيت,51.0,,01-2026
2026-01-16,السبت,مصروف,مقاهي,11.0,,01-2026
2026-01-16,السبت,مصروف,مطاعم,88.0,,01-2026
2026-01-16,السبت,مصروف,عناية,210.0,,01-2026
2026-01-17,السبت,مصروف,بنزين,70.0,,01-2026
2026-01-17,السبت,مصروف,السيارة,17.25,,01-2026
2026-01-17,السبت,مصروف,مقاضي البيت,52.46,,01-2026
2026-01-17,السبت,مصروف,مقاهي,2.0,,01-2026
2026-01-17,السبت,مصروف,مطاعم,36.0,,01-2026
2026-01-17,السبت,مصروف,خدمات خارجية,200.0,,01-2026
2026-01-17,السبت,مصروف,أخرى,70.0,,01-2026
2026-01-18,السبت,مصروف,المستشفيات والصيدليات,313.1,,01-2026
2026-01-18,السبت,مصروف,مطاعم,25.0,,01-2026
2026-01-18,السبت,مصروف,ترفيه وحجوزات,101.26,,01-2026
2026-01-18,السبت,مصروف,خدمات خارجية,500.0,,01-2026
2026-01-19,السبت,مصروف,بنزين,135.02,,01-2026
2026-01-19,السبت,مصروف,مقاهي,23.0,,01-2026
2026-01-19,السبت,مصروف,مطاعم,38.0,,01-2026
2026-01-19,السبت,مصروف,خدمات خارجية,87.0,,01-2026
2026-01-20,السبت,مصروف,مقاهي,7.75,,01-2026
2026-01-20,السبت,مصروف,مطاعم,22.0,,01-2026
2026-01-20,السبت,مصروف,ترفيه وحجوزات,125.0,,01-2026
2026-01-20,السبت,مصروف,خدمات خارجية,43.0,,01-2026
2026-01-20,السبت,مصروف,عناية,30.0,,01-2026
2026-01-20,السبت,مصروف,أخرى,700.0,,01-2026
2026-01-21,السبت,مصروف,بنزين,50.0,,01-2026
2026-01-21,السبت,مصروف,مقاضي البيت,21.0,,01-2026
2026-01-21,السبت,مصروف,مقاهي,27.0,,01-2026
2026-01-21,السبت,مصروف,مطاعم,46.0,,01-2026
2026-01-21,السبت,مصروف,أخرى,14.5,,01-2026
2026-01-22,السبت,مصروف,تصليح,20.0,,01-2026
2026-01-22,السبت,مصروف,خدمات خارجية,85.0,,01-2026
2026-01-23,السبت,مصروف,بنزين,50.0,,01-2026
2026-01-23,السبت,مصروف,فواتير,179.47,,01-2026
2026-01-23,السبت,مصروف,مقاضي البيت,103.45,,01-2026
2026-01-23,السبت,مصروف,مطاعم,48.0,,01-2026
2026-01-23,السبت,مصروف,أخرى,43.0,,01-2026
2026-01-25,السبت,مصروف,بنزين,112.0,,01-2026
2026-01-25,السبت,مصروف,مقاضي البيت,517.15,,01-2026
2026-01-25,السبت,مصروف,مقاهي,5.0,,01-2026
2026-01-25,السبت,مصروف,خضاروفواكهه,25.0,,01-2026
2026-01-26,السبت,مصروف,مقاهي,10.0,,01-2026
2026-01-26,السبت,مصروف,مطاعم,10.0,,01-2026
2026-01-26,السبت,مصروف,أخرى,330.0,,01-2026
2026-01-27,السبت,دخل,الراتب,14083.8,,02-2026
2026-01-27,السبت,دخل,حساب المواطن,400.0,,02-2026
2026-01-27,السبت,دخل,الدعم السكني,1667.22,,02-2026
2026-01-27,السبت,دخل,العمالة,350.0,,02-2026
2026-01-27,السبت,دخل,مسترجعات,115.0,,02-2026
2026-01-27,السبت,مصروفات ثابتة,القرض الشخصي,2276.0,,02-2026
2026-01-27,السبت,مصروفات ثابتة,القرض العقاري,3838.0,,02-2026
2026-01-27,السبت,مصروفات ثابتة,امي,800.0,,02-2026
2026-01-27,السبت,مصروفات ثابتة,كفالة,220.0,,02-2026
2026-01-27,السبت,مصروفات ثابتة,الاعاشة,350.0,,02-2026
2026-01-27,السبت,مصروف,قطات,116.0,,02-2026
2026-01-28,السبت,مصروف,مقاضي البيت,643.09,,02-2026
2026-01-28,السبت,مصروف,أخرى,45.0,,02-2026
2026-01-29,السبت,مصروف,أخرى,300.0,,02-2026
2026-01-30,السبت,مصروف,مقاضي البيت,52.95,,02-2026
2026-01-31,السبت,مصروف,فواتير,248.49,,02-2026
2026-01-31,السبت,مصروف,قطات,30.0,,02-2026
2026-02-01,السبت,مصروف,بنزين,142.01,,02-2026
2026-02-01,السبت,مصروف,فواتير,230.0,,02-2026
2026-02-01,السبت,مصروف,مقاضي البيت,110.0,,02-2026
2026-02-01,السبت,مصروف,مقاهي,7.0,,02-2026
2026-02-01,السبت,مصروف,مقاضي البنات,1.0,,02-2026
2026-02-01,السبت,مصروف,مطاعم,49.0,,02-2026
2026-02-01,السبت,مصروف,ترفيه وحجوزات,260.02,سيارة + شقة,02-2026
2026-02-01,السبت,مصروف,خدمات خارجية,89.0,,02-2026
2026-02-01,السبت,مصروف,أخرى,3.5,,02-2026
2026-02-02,السبت,مصروف,بنزين,5.0,,02-2026
2026-02-02,السبت,مصروف,مقاهي,15.0,,02-2026
2026-02-02,السبت,مصروف,مطاعم,98.0,,02-2026
2026-02-02,السبت,مصروف,ترفيه وحجوزات,91.33,,02-2026
2026-02-02,السبت,مصروف,أخرى,94.91,,02-2026
2026-02-03,السبت,مصروف,بنزين,15.0,,02-2026
2026-02-03,السبت,مصروف,مقاضي البيت,74.45,,02-2026
2026-02-03,السبت,مصروف,مقاهي,55.0,,02-2026
2026-02-03,السبت,مصروف,مطاعم,21.0,,02-2026
2026-02-03,السبت,مصروف,ترفيه وحجوزات,397.06,,02-2026
2026-02-03,السبت,مصروف,أخرى,6.9,,02-2026
2026-02-04,السبت,مصروف,مقاضي البيت,144.9,,02-2026
2026-02-04,السبت,مصروف,خضاروفواكهه,30.0,,02-2026
2026-02-04,السبت,مصروف,الزيت,10.0,,02-2026
2026-02-04,السبت,مصروف,عناية,15.0,,02-2026
2026-02-05,السبت,مصروف,بنزين,45.0,,02-2026
2026-02-05,السبت,مصروف,مقاضي البيت,25.5,,02-2026
2026-02-05,السبت,مصروف,مطاعم,101.0,,02-2026
2026-02-05,السبت,مصروف,خدمات خارجية,45.01,,02-2026
2026-02-06,السبت,مصروف,مقاضي البيت,40.0,,02-2026
2026-02-06,السبت,مصروف,مقاضي البيت,108.65,,02-2026
2026-02-06,السبت,مصروف,مقاضي البيت,33.0,,02-2026
2026-02-06,السبت,مصروف,بنزين,141.01,,02-2026
2026-02-06,السبت,مصروف,مخالفات,113.0,,02-2026
2026-02-06,السبت,مصروف,مقاضي البيت,12.0,,02-2026
2026-02-06,السبت,مصروف,مطاعم,20.0,,02-2026
2026-02-04,السبت,مصروف,الزيت,0.0,السوناتا  تغيير زيت فقط بدون فلتر,02-2026
